licence_num,使用分區,其他基地面積,原建照,地上層數,地上避難面積,地下層數,地下避難面積,工程造價,幢數,建物高度,建築面積,建造類別,戶數,棟數,構造種類,法定空地面積,發照日期,竣工日期,簷高,開工日期,騎樓基地面積
100使字第0030號,特定專用區(一)(供特定商業使用),332.93,095建字第0257號,3,0,0,0,406.0,1,15.04,194.83,新建,3,2,RC造,70.4,2011-01-26,2008-12-16,,2007-03-20,19.07
100使字第0031號,住3－1、住3－2,294,095建字第0366號,9,0,3,242.18,1973.0,1,30.25,131.88,新建,12,1,RC造,161.52,2011-01-27,2010-03-24,30.1,2007-01-11,0
100使字第0032號,商業區(供一般商業使用),1557.92,097建字第0235號,10,0,2,1184.1,7500.0,1,36,752.43,新建,21,1,RC造,924.01,2011-01-27,2010-11-15,,2009-03-05,118.52
100使字第0033號,第二種住宅區,655.63,097建字第0436號,5,0,1,0,1184.0,1,17.46,229.47,新建,4,1,RC造,426.17,2011-01-28,2010-12-10,,2009-06-06,0
100使字第0034號,科技工業區(A區),2785.53,096建字第0682號,10,0,3,1729.75,21331.0,1,40.7,1194.49,新建,45,1,鋼骨造、RC造、鋼骨RC造,1253.49,2011-01-28,2010-08-12,,2008-08-07,0
100使字第0035號,商業區(原商3),565.78,097建字第0020號,14,0,4,409.35,8477.0,1,49,409.35,新建,60,1,RC造,220.15,2011-01-28,2010-12-13,,2008-03-18,63.22
100使字第0036號,文教區,51446.49,098建字第0531號,9,0,1,0,122.0,1,30.85,15658.64,增建,0,1,鋼骨造,35787.85,2011-01-31,2010-11-10,,2010-07-02,0
100使字第0037號,住2,2060.91,098建字第0289號,5,0,1,0,3374.0,1,17.5,630.73,新建,25,1,RC造,1410.6,2011-01-31,2010-12-14,,2009-09-09,0
100使字第0038號,保護區,422.77,096建字第0649號,3,0,1,0,329.0,1,7,103.01,新建,1,1,RC造,242.04,2011-01-31,2009-10-02,,2008-04-25,0
100使字第0039號,一般住宅區,735.17,097建字第0530號,7,0,3,455.49,3221.0,1,25.8,257,新建,13,1,RC造,477.86,2011-01-31,2010-12-16,,2009-05-15,0
100使字第0040號,住3－2,611,097建字第0398號,12,0,2,486.49,4297.0,1,40.6,274.95,新建,33,1,RC造,336.05,2011-01-31,2010-08-26,,2008-12-12,0
100使字第0041號,住3,7619.54,097建字第0168號,23,0,4,0,62079.0,,95.15,2560.97,新建,168,1,RC造,4190.75,2011-01-31,2010-10-18,,2008-09-19,0
100使字第0042號,第三種住宅,290.11,096建字第0379號,6,0,1,204.07,924.0,1,21.75,130.54,新建,8,1,RC造,159.56,2011-02-01,2010-04-08,,2007-11-06,0
100使字第0043號,高中用地(公共設施用地),80364,098建字第0378號,5,0,0,0,119.0,1,20.7,18.4,增建,1,1,鋼構造,61152.86,2011-02-01,2010-12-02,,2010-06-23,0
100使字第0044號,小學用地,35082,099雜字第0009號,0,,0,,34.0,0,1.8,0,新建,0,0,RC造,21049.2,2011-02-01,2010-12-02,,2010-06-22,0
100使字第0045號,住2,1559.51,094建字第0682號,5,0,2,0,2959.0,1,17,543.25,新建,17,3,RC造,1013.68,2011-02-11,2009-05-12,17.05,2006-07-14,0
100使字第0046號,特定專用區(一)(供特定商業使用),121.55,095建字第0219號,2,0,0,0,182.0,1,10.49,125.88,新建,1,1,磚造,292.62,2011-02-14,2010-08-17,,2006-10-26,20.45
100使字第0047號,台灣大學用地〈公共設施用地〉,869491,097建字第0363號,5,0,1,1574.48,7703.0,1,22.35,2653.5,新建,1,1,RC造、鋼骨造,521694.6,2011-02-14,2010-11-30,,2009-03-31,0
100使字第0048號,住2,231.41,097建字第0490號,4,0,0,0,271.0,1,13.95,80.79,新建,1,1,RC造,150.42,2011-02-15,2010-10-28,,2009-07-28,0
100使字第0049號,第二種住宅區,816.46,097建字第0175號,5,0,1,0,1369.0,1,17.5,285.65,新建,10,1,RC造,530.7,2011-02-15,2010-04-19,,2008-11-20,0
100使字第0050號,住3,2189.3,098建字第0277號,15,0,3,1531.52,16733.0,1,49.7,816.28,新建,46,1,RC造,1204.11,2011-02-16,2010-12-16,,2009-08-12,0
100使字第0051號,住3,349.01,098建字第0036號,7,0,1,151.73,1160.0,0,27.2,152.14,新建,14,1,RC造,191.96,2011-02-16,2010-12-06,23.45,2009-07-22,0
100使字第0052號,火葬場用地,5541.57,098建字第0380號,1,0,0,0,526.0,1,4.51,772.5,新建,1,1,混凝土造,3324.94,2011-02-17,2010-12-10,,2009-10-22,0
100使字第0053號,醫療用地、第三種住宅,262940.6,098建字第0161號,1,0,0,0,66.0,1,3.15,97.86,新建,0,1,輕型鋼架造、其他、其他,156654.48,2011-02-18,2010-09-10,,2009-12-25,0
100使字第0054號,住3,4945.94,096建字第0429號,11,0,4,2973.94,30861.0,1,36,2225.53,新建,162,4,RC造,2720.41,2011-02-21,2010-09-13,35.85,2008-02-20,0
100使字第0055號,商三(原屬住三),360,097建字第0405號,11,0,2,122.32,1647.0,1,36.75,121.35,新建,10,1,RC造,198,2011-02-22,2010-11-22,,2009-02-10,0
100使字第0056號,工業區(供輕工業使用),901.15,097建字第0555號,6,0,3,636.23,4210.0,1,33.15,411.83,新建,7,1,RC造,450.58,2011-02-23,2010-12-13,,2009-09-04,0
100使字第0057號,體育場用地,6440.81,099建字第0106號,2,0,0,0,109.0,2,12,348.95,新建,1,2,RC造、鋼骨造,3864.49,2011-02-23,2010-10-14,,2010-05-19,0
100使字第0058號,住3,3819.49,099雜字第0030號,0,,0,,1627.0,0,0,0,新建,0,0,RC造,0,2011-02-25,2010-12-17,,2010-09-17,0
